title,points,vintage,type,variety,region_2,region_1,province,country,winery,price,abv,description,taste,acidity,sweetness,tannin,body,cost-effectiveness,image,vivino_url
Frank Family Vineyards Cabernet Sauvignon,4.5,2015,Red wine,Cabernet Sauvignon,Napa Valley,Napa County,California,United States,Frank Family,"₩83,657 ",14.50%,"The 2015 Cabernet Sauvignon is gracious and medium in body, with good energy and fine balance, especially for an appellation-level wine. Sweet red cherry and floral notes are nicely lifted in this mid-weight, open-knit Cabernet.","oak, vanilla, chocolate, tobacco, leather, earthy, blackberry, plum, black cherry, cassis, cherry, raspberry, pepper",3,1,5,5,2,"https://assets.wine.com/winecom/image/upload/c_fit,q_auto:good,fl_progressive/vmc77eftrzje5nby79p5.jpg",https://www.wine-searcher.com/find/frank+fmly+cab+sauv+napa+valley+county+north+coast+california+usa/2015/south+korea
"Domaine Vincent Latour
Volnay 'Cuvée Nathan'",4.1,2020,Red wine,Pinot Noir,Volnay,Côte de Beaune,Bourgogne,France,Domaine Vincent Latour,"₩141,984 ",13.00%,"A village-level Volnay known for its elegance. This Pinot Noir expresses delicate red fruit (red cherry, raspberry), earthy notes (forest floor, mushroom), and subtle hints of spice from oak aging. The palate is silky and refined with fine-grained tannins and a persistent, mineral-driven finish, embodying the classic finesse of the Volnay appellation.","red cherry, red fruit, cherry, eathy, forest floor, leather, mushroom, blueberry, boysenberry, fennel, nectarine",5,1,2,3,2,https://d2uqzpf6d2kb73.cloudfront.net/eyJidWNrZXQiOiJzcGluZS1wcm9kdWN0LWltYWdlcy1wcm9kIiwia2V5IjoiY2Q3YzA4NmUtNmQ5OC00NDNkLThiNzMtNjc4NjFiYTUzY2EzLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJoZWlnaHQiOjgwMH0sInRyaW0iOjAuMX19,https://www.vivino.com/en/vincent-latour-volnay-cuvee-nathan/w/1929877?year=2020
"Tommasi
I Pianeti Valpolicella",3.5,2020,Red wine,"Blend (Corvinone, Rondinella, Molinara)",Valpolicella,Veneto,Northern Italy,Italy,Tommasi,"₩42,650 ",12.00%,"This wine is a quintessential expression of Valpolicella Classico from the renowned Tommasi family. Crafted from a traditional blend, it is designed to be fresh and approachable. The wine opens with a vibrant bouquet of fresh red fruits, showcasing prominent notes of cherry, raspberry, and strawberry, complemented by subtle hints of spice like licorice and cinnamon.","red fruit, strawberry, bing cherry, cherry, red cherry, licorice, cinnamon, black cherry, plum, iron, lemon peel,",4,1,2,2,4,https://www.keumyang.com/mall/shop_image_new/202105/2_1620704101_TommasiIPianetiValpolicellaDOC_1620704101.png,https://www.vivino.com/en/tommasi-i-pianeti-valpolicella/w/7696750?year=2020
"Clos du Val 
Red Blend",4,2021,Red wine,"Blend (Malbec, Petit Verdot, Cabernet Sauvignon)",Napa Valley,Napa County,California,United States,Clos du Val,"₩59,900 ",14.50%,"A Napa Valley blend aiming for approachability and fruit-forward character. It is a vibrant and juicy wine, leading with aromas of ripe red fruits like cherry, raspberry, and strawberry. The palate is smooth and medium-bodied with soft tannins, making it an easy-drinking wine that captures the generous fruit character of Napa Valley in an accessible style.","cherry, raspberry, strawberry",3,1,4,5,3,https://images.vivino.com/thumbs/El36QH7cQsGISgT2vALdiQ_pb_x960.png,https://www.vivino.com/en/clos-du-val-red-blend-napa-valley-red-wine-v-zqxjc/w/11454427?year=2021
"La Spinetta
Langhe Nebbiolo",4,2022,Red wine,Nebbiolo,Langhe,Piemonte,Northern Italy,Italy,La Spinetta,"₩30,941 ",14.00%,"La Spinetta's Langhe Nebbiolo is designed as an approachable introduction to the noble grape. It offers classic aromas of cherry, raspberry, and rose petals, with underlying notes of tar and earth. The palate is medium-bodied with the grape's signature firm tannins and bright acidity, leading to a long and savory finish that can be enjoyed in its youth.","cherry, red fruit, raspberry, strawberry, oak, tobacco, vanilla, leather, earthy, tar, plum, blackcurrant, blackberry, pepper, licorice, violet, dried fruit, cheese, tomato, orange",5,1,4,4,4,https://images.vivino.com/thumbs/2sUdQSK-TyiZaBr6O-Jd1w_pb_x960.png,https://www.vivino.com/en/la-spinetta-langhe-nebbiolo/w/15194?year=2022
Beaujolais-Villages Nouveau,3.8,2023,Red wine,Gamay,,Beaujolais-Villages,Beaujolais,France,Joseph Drouhin,"₩45,000 ",12.50%,"Released just weeks after harvest, this wine celebrates the new vintage. Made from Gamay using carbonic maceration, it is exceptionally fresh and fruity. It bursts with exuberant aromas of ripe strawberry, raspberry, and cherry, famously accompanied by notes of banana. The palate is light and juicy with virtually no tannins, meant to be drunk young and chilled.","strawberry, cherry, raspberry, banana, cream, plum, violet",4,1,1,1,5,https://images.vivino.com/thumbs/OkaM4ieYTUKC8kuJgiEc0A_pb_x960.png,https://www.vivino.com/en/joseph-drouhin-beaujolais-villages-nouveau/w/1268266?year=2023
Produttori del Barbaresco,4.2,2018,Red wine,Nebbiolo,Barbaresco,Piemonte,Northern Italy,Italy,Produttori del Barbaresco,"₩56,000 ",14.50%,"This is the benchmark Barbaresco from the famed cooperative, made from 100% Nebbiolo. The 2018 vintage offers classic aromas of red cherry, rose petals, and licorice, with developing notes of leather, tar, and tobacco. The palate is elegant yet powerful, with firm tannins and high acidity, showcasing the grace and complexity of the Barbaresco terroir.","cherry, red fruit, strawberry, raspberry, leather, earthy, tar, tobacco, oak, vanilla, licorice, black cherry, violet, raisin, orange",5,1,5,5,3,https://images.vivino.com/thumbs/LVmJJ4cBREabyoW9fVB1JA_pb_x960.png,https://www.vivino.com/en/produttori-del-barbaresco-barbaresco/w/19265?year=2018
Domaine du Bouchot Pouilly-Fumé Caillottes,4.2,2021,White wine,Sauvignon Blanc,Pouilly-Fumé,Upper Loire,Loire Valley,France,Domaine du Bouchot,"₩80,117 ",13.00%,"Caillottes' refers to the stony, limestone-rich soils this Sauvignon Blanc is grown on, which imparts a distinct minerality. It presents a precise bouquet of citrus fruits, green apple, and gooseberry, with the appellation's signature notes of flint and gun smoke. The palate is crisp and dry, with a zesty acidity and a long, stony finish.","pear, green apple, citrus, lemon, stone, gooseberry, cream",5,1,1,2,4,https://images.vivino.com/thumbs/WBBwVt13Rl-Kvx8q8otKbQ_pb_x960.png,https://www.vivino.com/en/domaine-du-bouchot-caillottes-pouilly-fume/w/9587126?year=2021
Franceschi Brunello di Montalcino Il Poggione,4.2,2017,Red wine,Sangiovese,Brunello di Montalcino,Toscana,Central Italy,Italy,Tenuta Il Poggione,"₩86,428 ",14.50%,"A classic Brunello di Montalcino from a warm vintage. Made from 100% Sangiovese, it reveals a complex nose of ripe red and black cherries, plum, leather, and tobacco, with hints of licorice and balsamic. The palate is full-bodied, powerful, and well-structured with firm, mature tannins and a long, savory finish.","tobacco, oak, vanilla, leather, earthy, smoke, cherry, red fruit, red cherry, plum, black cherry, black berry, licorice, prune, violet",5,1,5,5,3,https://images.vivino.com/thumbs/YdGxAwoiQA6XsyP7Rpg_Vw_pb_x960.png,https://www.vivino.com/en/tenuta-il-poggione-brunello-di-montalcino/w/22175?year=2017
Connétable Talbot Saint-Julien,4.1,2018,Red wine,"Blend(Cabernet Sauvignon, Merlot)",Saint-Julien,Médoc,Bordeaux,France,Château Talbot,"₩45,000 ",14.00%,"As the second wine of Château Talbot, this offers a classic Saint-Julien experience. A blend of Cabernet Sauvignon and Merlot, it displays aromas of blackcurrant and blackberry with notes of tobacco and earth. The palate is medium to full-bodied with well-integrated tannins, making it more approachable in its youth than the Grand Vin.","blackcurrant, blackberry, oak, vanilla, tobacco, leather, earthy, cherry, raspberry, pepper, violet,",4,1,4,4,3,https://images.vivino.com/thumbs/RL-LE-8tR6CLk9nyncjDVw_pb_x960.png,https://www.vivino.com/en/chateau-talbot-connetable-talbot-saint-julien/w/1137679?year=2018
Héritages Vieilles Vignes Côtes du Rhône,3.9,2020,Red wine,"Blend(Shiraz/Syrah, Grenache, Mourvedre)",Côtes-du-Rhône,Southern Rhône,Rhone Valley,France,Ogier,"₩163,504 ",14.50%,"Sourced from old vines ('Vieilles Vignes'), this wine offers greater concentration. A classic blend of Grenache, Syrah, and Mourvèdre, it is rich with flavors of dark fruits like blackberry and plum, layered with notes of black pepper, garrigue (wild herbs), and a hint of leather. The palate is full-bodied and robust with ripe tannins.","black fruit, blackberry, earthy, leather, oak, pepper, cherry, cheese",3,1,3,4,5,https://images.vivino.com/thumbs/uW66oY7iTTOkK1BLRbSptg_pb_x600.png,https://www.vivino.com/en/ogier-heritages-vieilles-vignes-cotes-du-rhone/w/2702026?year=2020
Domaine Yvon & Laurent Vooc Chablis Vieilles Vignes,4,2019,White wine,Chardonnay,,Chablis,Bourgogne,France,Domaine Yvon & Laurent Vocoret,"₩52,158 ",13.00%,"This 'Vieilles Vignes' (old vines) Chablis delivers enhanced depth and concentration. It showcases the classic Chablis profile of green apple, lemon, and a pronounced minerality reminiscent of crushed oyster shells and flint. The old vines contribute a richer texture and greater complexity, leading to a long and precise finish.","butter, oak, vanilla, caramel, pineapple, tropical, apple, green apple, melon, peach, minerals,",5,1,1,3,3,https://bottleofitaly.com/cdn/shop/files/Chablis-Homme-Mort-Yvon-bottle-of-italy_grande.jpg?v=1726829200,https://www.vivino.com/en/domaine-yvon-laurent-vocoret-vieilles-vignes-chablis/w/8743523?year=2019
Le Petit Clos APALTA,4.3,2019,Red wine,Carménère,Colchagua Valley,Rapel Valley,Central Valley,Chile,Clos Apalta,"₩82,904 ",14.50%,"The second wine of the iconic Clos Apalta, this Carménère-dominant blend is sourced from the same exceptional terroir. It offers a rich and complex profile of ripe blackberry and plum, woven with notes of cedar, tobacco, chocolate, and a hint of bell pepper. The palate is full-bodied and opulent with velvety tannins and a persistent finish.","oak, vanilla, tobacco, chocolate, cedar, blackberry, plum, blackcurrant, black fruit, cassis, leather, earty, pepper, licorice, cherry, red fruit, bell pepper, violet, toast, cream, prune",3,1,4,4,2,https://images.vivino.com/thumbs/b45W9uo8SG20kGI1iEAACQ_pb_x960.png,https://www.vivino.com/en/clos-apalta-le-petit-clos/w/5498086?year=2019
Joseph Faiveley Bourgogne Pinot Noir 'F. de Faiveley',3.7,2020,Red wine,Pinot Noir,,,Bourgogne,France,Domaine Faiveley,"₩102,190 ",13.00%,"A regional Bourgogne from a respected producer, this Pinot Noir is crafted for accessibility and charm. It features a lovely bouquet of fresh red fruits like strawberry, cherry, and raspberry, with subtle earthy undertones. On the palate, it is light to medium-bodied with silky tannins, bright acidity, and a clean, elegant finish.","strawberry, cherry, raspberry, oak, vanilla, eathy, mushroom, licorice, tomato leaf",4,1,2,2,3,https://images.vivino.com/thumbs/UdqOaGHaQd6mGIK6R6Hz9g_pb_x600.png,https://www.vivino.com/en/domaine-faiveley-f-de-faiveley-bourgogne-pinot-noir/w/6999236?year=2020
Remelluri Rioja Reserva,4.2,2013,Red wine,"Blend(85% Tempranillo, 10% Garnacha, 5% Graciano)",,,Rioja,Spain,Remelluri,"₩87,908 ",14.00%,"From a single-estate winery, this Reserva is a benchmark for traditional, terroir-driven Rioja. The 2013 vintage shows developed, complex aromas of dried cherry, plum, leather, tobacco, and balsamic notes. The palate is medium-bodied and elegant, with beautifully resolved tannins, savory depth, and a long, mineral-inflected finish.","oak, vanilla, tobacco, chocolate, cedar, blackberry, plum, black cherry, black fruit, leather, earty, smoke, cherry, red fruit, raspberry, licorice, pepper, prune, violet, cheese, toast,",4,1,4,4,3,https://images.vivino.com/thumbs/2JhvspTuS9mMHgL0WygQEw_pb_x600.png,https://www.vivino.com/en/remelluri-rioja-reserva/w/89013?year=2013
Duckhorn Vineyards Napa Valley Cabernet Sauvignon,4.5,2019,Red wine,Cabernet Sauvignon,Napa Valley,Napa County,California,United States,Duckhorn,"₩249,845 ",14.50%,"A benchmark Napa Valley Cabernet Sauvignon, this wine is luxurious and complex. It offers alluring aromas of ripe blackberry, cassis, and plum, interwoven with notes of vanilla, tobacco, and cocoa from French oak aging. The palate is full-bodied, rich, and layered, with plush, velvety tannins and a long, elegant finish.","oak, vanilla, tobacco, blackberry, plum, dark fruit, leather, earty, cherry, red fruit, licorice, green bell pepper",3,1,5,5,2,https://images.vivino.com/thumbs/OcGmv8oLSrCyyF4MeJcqqg_pb_x600.png,https://www.vivino.com/en/duckhorn-patzimaro-vineyard-cabernet-sauvignon/w/1106211?year=2019
Cuvelier Los Andes Grand Vin,4.3,2010,Red wine,"Blend(Shiraz/Syrah, Cabernet Sauvignon, Malbec, Petit Verdot)",,,Mendoza,Argentina,Cuvelier Los Andes,"₩123,434 ",15.00%,"The flagship wine from this Mendoza estate. A Malbec-dominant blend, the mature 2010 vintage reveals a deep bouquet of blackberry and dark plum, with developed notes of leather, tobacco, and earthy undertones. On the palate, it is full-bodied, dense, and powerful, with well-integrated tannins and a very long, persistent finish.","oak, vanilla, tobacco, chocolate, blackberry, plum, dark fruit, leather, earty, smoke, pepper, licorice, cherry, raspberry, violet, prune, hazelnut",3,1,4,5,3,https://images.vivino.com/thumbs/1vlsZIS1R6yi6qQZfIPhIQ_pb_x600.png,https://www.vivino.com/en/cuvelier-los-andes-grand-vin/w/24984?year=2010
Alba de Domus,4.1,2019,Red wine,Cabernet Sauvignon,,Maipo Valley,Central Valley,Chile,Quebrada de Macul,"₩48,544 ",14.90%,"Alba De Domus is a complex wine, fruit abundant, full-bodied¸ and the whole underlined by a menthol touch. Alba de Domus will fulfill the wishes of anyone looking for a distinguished wine.","oak, chocolate, tobacco, vanilla, cedar, coffee, blackcurrant, plum, blackberry, black fruit, cassis, black cherry, leather, smoke, balsamic, earthy, mushroom, forest floor, pepper, mint, licorice, eucalyptus, menthol, savory, cherry, raspberry, red fruit, strawberry, pomegranate, red cherry",3,1,4,5,3,https://images.vivino.com/thumbs/-dkwSWBOR7O4aCfi5QcNPg_pb_x960.png,https://www.vivino.com/en/quebrada-de-macul-alba-de-domus/w/1105375?ref=nav-search
Beaujolais Nouveau,3.5,2024,Red wine,Gamay,,Beaujolais Nouveau,Beaujolais,France,Georges Duboeuf,"₩40,685 ",13.00%,"The first wine of the harvest from Beaujolais, France. Shiny blueberry color. Intensely fruity with flavors of black fruits such as black currant and ripe black cherries. Generous, soft and silky, it gives an impression of sweetness that coats the palate. The finish is subtle and fresh. Simply superb !","strawberry, cherry, raspberry, red fruit, cranberry, red cherry, banana, cream, cheese, yeast, yogurt, fresh bread, blueberry, plum, blackberry, jam, black cherry, blackcurrant, bubblegum, tropical, pineapple, kiwi, mango, papaya, vanilla, cola, chocolate, oak, caramel, butter",4,1,1,1,5,https://images.vivino.com/thumbs/AfWLCQvGTQ6OqRzy-li1jA_pb_x960.png,https://www.vivino.com/en/georges-duboeuf-beaujolais-nouveau/w/3889282?ref=nav-search
Treana Chardonnay,4.1,2020,White wine,Chardonnay,,Central Coast,California,United States,Treana,"₩48,544 ",14.50%,"It has a pale-straw color and aromas of candied pineapple, mandarin, stone fruits, and butterscotch. On the palate, vibrant fruit flavors of lemon curd, white peach compote, grilled pineapple and citrus are softened by creamy flavors of marzipan and creme brulee. A silky texture is complimented with mouthwatering acidity and a touch of toasted oak on the finish.","butter, oak, vanilla, caramel, butterscotch, creme brulee, peach, pear, apple, apricot, green apple, stone fruit, white peach, pineapple, tropical, grilled pineapple, guava, mango, cream, banana, cheese, lemon curd, oil, campfire, citrus, lemon, lemon zest, grapefruit, lime, orange, honey, minerals, stone, smoke, mushroom, earthy, papaya",2,1,1,4,4,https://images.vivino.com/thumbs/hgqmrwP6T7KcI0-qJ2avZw_pb_x960.png,https://www.vivino.com/en/treana-winery-chardonnay/w/3204784?ref=nav-search
Tenet Wines The Pundit,3.9,2020,Red wine,Shiraz/Syrah,,Columbia Valley,Washington,United States,Tenet Wines,"₩30,000 ",14.50%,"The color is deep purple with ruby highlights. Ripe cherry and plum aromas are complemented by smoky cocoa and cola, and highlighted by traces of citrus blossom and lemon. A very smooth mouthfeel glides into a long silky finish with flavors of red cherry and blackberry, hints of toasted vanilla.","plum, blackberry, blueberry, dark fruit, black cherry, black fruit, oak, vanilla, tobacco, chocolate, cola, baking spice, smoke, leather, earthy, cocoa, mushroom, game",3,1,3,5,4,https://images.vivino.com/thumbs/4S546iHKQY-NeFqfIVhdtA_pb_x960.png,https://www.vivino.com/en/tenet-wines-the-pundit/w/3491687?ref=nav-search
Château Grandchemin Monplaisir Saint-Estèphe,3.7,2019,Red wine,"Blend(Cabernet Sauvignon, Merlot)",Saint-Estèphe,Médoc,Bordeaux,France,Château Grandchemin Monplaisir,"₩71,661 ",13.00%,Attractive deep and vivid red colour. Fine on the nose with notes of ripe fruit combined with vanilla and toasty flavours. Full on the palate with a good balance between fruit and oak. Good length.,"oak, vanilla, tobacco, cedar, coffee, caramel, black cherry, dark fruit, black fruit, plum, cassis, blackberry, blueberry, cherry, cranberry, raspberry, red currant, red fruit, pomegranate",4,1,4,4,4,https://images.vivino.com/thumbs/hinPN3KhSzWeqvPA1sCQxA_pb_x600.png,https://www.vivino.com/en/grandchemin-monplaisir-saint-estephe/w/1156720?ref=nav-search
Atalaya Alaya Tierra,4.4,2020,Red wine,Grenache,,Almansa,Castilla,Spain,Atalaya,"₩43,900 ",16.00%,"Alaya Tierra is a red wine that stands out for its subtle maturity and robust body. On the nose, it presents aromas of dark fruits such as blackberry and plum, accompanied by notes of vanilla and spices derived from its time in the barrel. On the palate, it is juicy and well-structured, with smooth tannins that lend elegance. Its finish is persistent, leaving a pleasant sensation of freshness. A wine that reflects the richness of its terroir and the dedication in its production.","oak, vanilla, chocolate, tobacco, dark chocolate, coffee, blackberry, black fruit, plum, dark fruit, blackcurrant, blueberry, leather, smoke, earthy, cocoa, minerals, tar, balsamic",2,1,4,5,3,https://images.vivino.com/thumbs/tMjxEcJZS8-W9Sa16npb-Q_pb_x600.png,https://www.vivino.com/en/atalaya-almansa-alaya-tierra-almansa/w/3772025?ref=nav-search
Feudi di San Gregorio Falanghina,3.8,2003,White wine,Falanghina,Sannio,Campania,Southern Italy,Italy,Feudi di San Gregorio,"₩106,336 ",13.00%,"The color is straw yellow that contains brilliant green reflections. The perfume is intense and persistent with sensations of delicate white flowers and fruit. The taste offers freshness and balance, with a clean finish.","citrus, lemon, grapefruit, lime, lemon zest, orange, pear, apple, peach, green apple, apricot, melon, minerals, honey, stone, saline, earthy, salt",4,1,1,2,5,https://images.vivino.com/thumbs/kmL4UWsQSo-W49IwaZUSbw_pb_x600.png,https://www.vivino.com/en/feudi-di-san-gregorio-falanghina/w/5093?ref=nav-search
OrnellaiaLe Volte,4,2020,Red wine,"Blend(Cabernet Sauvignon, Merlot, Sangiovese)",,Toscana,Central Italy,Italy,Ornellaia,"₩64,726 ",13.50%,"Intense ruby red in color, the nose has lively notes of red fruits and rose petals; in the mouth it is full and enveloping, characterized by a dense tannic texture and a vibrant acidity that make it a wine of great pleasure and drinkability.","oak, vanilla, tobacco, chocolate, cedar, coffee, blackberry, plum, blackcurrant, black fruit, dark fruit, blueberry, cherry, red fruit, raspberry, strawberry, red cherry, sour cherry",4,1,4,4,3,https://images.vivino.com/thumbs/HzBJnT2mQq6YVNB6KQ1S6Q_pb_x600.png,https://www.vivino.com/en/ornellaia-le-volte-tuscany/w/1480684?ref=nav-search
Cousiño-Macul Lota,4.5,2019,Red wine,"Blend(Carbenet Sauvignon, Merlot)",,Maipo Valley,Central Valley,Chile,Cousiño-Macul,"₩230,239 ",14.00%,"Deep purple in color with yellowish notes. In the nose, ripe black fruits, especially blackberries, plums and figs, and flower aromas, such as violets and oak. In the mouth very strong, with medium-high acidity, very fruity with persistent tannins. The finish is very long and round.","oak, tobacco, vanilla, chocolate, cedar, cigar box, blackberry, plum, cassis, black fruit, blackcurrant, blueberry, dark fruit, jam, black cherry, black plum, blackberry jam, plum sauce, mulberry, ripe blackberry, spiced plum, leather, cocoa, earthy, smoke, mushroom, truffle, balsamic, minerals, game, graphite, honey, tar, black truffle, cured meat, exotic spice, forest floor, grilled meat, ground coffee, iron, pencil lead",3,1,5,5,2,https://images.vivino.com/thumbs/mQ3msQFTTlypHhmXvvg9XQ_pb_x600.png,https://www.vivino.com/en/cousino-macul-lota/w/48314?ref=nav-search
